"# Separated ""off-the-rack"" and ""arrangement-candidate"" fields",,,,,,,,,,,,,,,,,,,,
# A-I  = common,,,,,,,,,,,,,,,,,,,,
# J-P  = off-the-rack / repertoire,,,,,,,,,,,,,,,,,,,,
# Q-U  = source-material / arrangement-candidate,,,,,,,,,,,,,,,,,,,,
READINESS-STATE,COMPOSER,WORK,LEVEL,CATEGORY,STATUS,DURATION,PARTS-NOTES,NOTES,PUBLISHER,PRICE,PDF,PDF-URL,SCORE-SOURCE,SCORE-URL,RECORDING,REFERENCE-MATERIAL,REFERENCE-URL,ARRANGEMENT-DIFFICULTY,INTEREST-LEVEL,ARRANGEMENT-NOTES
Ready,Holst,Jupiter-Hymn,INT-2,Romantic,,,,,,,Jupiter-Hymn,https://drive.google.com/drive/folders/1f1zIH42HFG-FvJafshguBeeaPU9L5e3q?usp=drive_link,,,,,,,,
Ready,Tchaikovsky,Swan-Lake,INT-2,Romantic,,,,,,,Swan-Lake,https://drive.google.com/drive/folders/1ShZrVlSITb9ANwgA89apqPbPpSzKotQE?usp=drive_link,,,,,,,,
Ready,Bartok,Romanian-Dances,INT-3,Modern,,,,,,,Romanian-Dances,https://drive.google.com/drive/folders/1kGmPjs-z7phOV6mYmgzGLk-VoFp1u5ar?usp=drive_link,,,,,,,,
Ready,Hisaishi,Howls-Moving-Castle,INT-2,Film,,,,,,,Howls-Moving-Castle,https://drive.google.com/drive/folders/17aXfc3nlVhge0fEU4UzkFKABPGCVFVog?usp=drive_link,,,,,,,,
Ready,Rachmaninoff,Prelude,INT-3,Romantic,,,,,,,Prelude,https://drive.google.com/drive/folders/1q2gWSMT30CI6en5y9C4d-DTM6lWLjP_1?usp=drive_link,,,,,,,,
Ready,Zimmer,Interstellar,INT-2,Film,,,,,,,Interstellar,https://drive.google.com/drive/folders/1M6yO7YRaZcPcHNG47NuBx-eeo7YkIiDp?usp=drive_link,,,,,,,,
Ready,Williams,Star-Wars-Main-Theme,INT-2,Film,,,,,,,Star-Wars-Main-Theme,https://drive.google.com/drive/folders/1Fl1GAG_2JLdabT4xJdsowdw1_-YyEMSW?usp=drive_link,,,,,,,,
Ready,Bach,Brandenburg-3-Mvt-3,ADV,Baroque,,,,,,,Brandenburg-3-Mvt-3,https://drive.google.com/drive/folders/1JcKc8Gmy8x_-PdfWU98uAy-5eRrDk1dy?usp=drive_link,,,,,,,,
Ready,Hisaishi,Kikis-Delivery-Service,ADV,Film,,,,,,,Kikis-Delivery-Service,https://drive.google.com/drive/folders/1McNAM0kAiKZgG0SYSB3v3vQ86XfWFwbI?usp=drive_link,,,,,,,,
Ready,Tchaikovsky,Andante-Cantabile,ADV,Romantic,,,,,,,Andante-Cantabile,https://drive.google.com/drive/folders/1_NGqTYF78j6V3Mrh7RJpuBvE_-hFVfPQ?usp=drive_link,,,,,,,,
